Name,Level,Section,Type,Custom Icon URL,Address,EntityType,External Links,Multipage,DirectConnections,More Info Link,DirectConnectionsVisibility,ShowHierarchy,Notes
Demo,1,Era,,,,,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Deterministic,4,Era,,,,,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Reactive,7,Era,,,,,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Proactive,10,Era,,,,,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Autonomic,13,Era,,,,,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
?,15,Era,,,,,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Local Development,1,Development-Demo,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Monolith,2,Development-Demo,Form,,,Page,,No,Smoke Tests,https://goto.google.com/gcp-customer-reliability,visible line,No,
Code Review,5,Development-Deterministic,Form,,,Page,,No,Pre Merge Hooks,https://goto.google.com/gcp-customer-reliability,visible line,No,
Pre Merge Hooks,7,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Active Passive Clusters,8,Development-Reactive,Form,,,Page,,No,Active Active Multi Cluster,https://goto.google.com/gcp-customer-reliability,visible line,No,
Microservices,9,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Leftshift Reliability Design,10,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Graceful Service Degradation (Individual CUJs),11,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Left Shift Performance Testing,12,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Graceful Service Degradation (Universal),13,Development-Autonomic,Form,,,Page,,No,Serious Design/Domain Driven Design,https://goto.google.com/gcp-customer-reliability,visible line,No,
Bounded Context,14,Development-Autonomic,Form,,,Page,,No,Protobufs,https://goto.google.com/gcp-customer-reliability,visible line,No,
Protobufs,15,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Smoke Tests,3,Development-Demo,Form,,,Page,,No,"Automated Unit Testing, Functional Tests, Manual Integration Tests",https://goto.google.com/gcp-customer-reliability,visible line,No,
Automated Unit Testing,4,Development-Deterministic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Multi Service Development,5,Development-Deterministic,Form,,,Page,,No,Distributed Systems Awareness,https://goto.google.com/gcp-customer-reliability,visible line,No,
Distributed Systems Awareness,7,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Deployments in Place,8,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Feature Flags,9,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Active Active Multi Cluster,11,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Basic Chaos Testing,12,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Serious Design/Domain Driven Design,13,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Design Around Universal Failure Domains,14,Development-Autonomic,Form,,,Page,,No,Design for Chaos,https://goto.google.com/gcp-customer-reliability,visible line,No,
Sharded Data,15,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Manual Tests,3,Development-Demo,Form,,,Page,,No,Manual Integration Tests,https://goto.google.com/gcp-customer-reliability,visible line,No,
Code Version Control,4,Development-Deterministic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
functional tests,5,Development-Deterministic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
semi automated integration,6,Development-Deterministic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
